method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score),split_idx
marginal,0.01,42,0.001207729468599,0.2329545454545441,0.9761904761904528,0.2329545454545441,0.376146788990511,0.94303428304787,0.7761877875290519,0
marginal,0.05,140,0.039855072463768,0.607954545454542,0.7642857142857089,0.607954545454542,0.67721518987292,0.94303428304787,0.7761877875290519,0
marginal,0.1,177,0.0700483091787438,0.6761363636363598,0.6723163841807872,0.6761363636363598,0.6742209631723007,0.94303428304787,0.7761877875290519,0
ccv_simes,0.01,57,0.0072463768115941,0.2897727272727256,0.8947368421052474,0.2897727272727256,0.4377682403429742,0.94304457619675,0.7761877875290522,0
ccv_simes,0.05,139,0.038647342995169,0.607954545454542,0.7697841726618649,0.607954545454542,0.6793650793645819,0.94304457619675,0.7761877875290522,0
ccv_simes,0.1,162,0.0567632850241545,0.6534090909090872,0.7098765432098721,0.6534090909090872,0.6804733727805617,0.94304457619675,0.7761877875290522,0
marginal,0.01,91,0.0169082125603864,0.4374999999999975,0.8461538461538369,0.4374999999999975,0.5767790262167748,0.938731746815986,0.7384901236558881,1
marginal,0.05,145,0.039855072463768,0.6363636363636328,0.7724137931034429,0.6363636363636328,0.6978193146412448,0.938731746815986,0.7384901236558881,1
marginal,0.1,187,0.076086956521739,0.7045454545454506,0.6631016042780713,0.7045454545454506,0.683195592285998,0.938731746815986,0.7384901236558881,1
ccv_simes,0.01,111,0.0217391304347825,0.5284090909090879,0.8378378378378303,0.5284090909090879,0.6480836236929008,0.9388140920070268,0.7379088801867135,1
ccv_simes,0.05,136,0.0362318840579709,0.6022727272727239,0.7794117647058767,0.6022727272727239,0.6794871794866835,0.9388140920070268,0.7379088801867135,1
ccv_simes,0.1,156,0.0495169082125603,0.6534090909090872,0.7371794871794825,0.6534090909090872,0.692771084336847,0.9388140920070268,0.7379088801867135,1
marginal,0.01,84,0.0132850241545893,0.4147727272727249,0.8690476190476087,0.4147727272727249,0.5615384615380198,0.9424544356609572,0.746707283596177,2
marginal,0.05,162,0.0567632850241545,0.6534090909090872,0.7098765432098721,0.6534090909090872,0.6804733727805617,0.9424544356609572,0.746707283596177,2
marginal,0.1,195,0.0785024154589371,0.7386363636363594,0.6666666666666633,0.7386363636363594,0.7008086253364247,0.9424544356609572,0.746707283596177,2
ccv_simes,0.01,94,0.0157004830917874,0.4602272727272701,0.8617021276595653,0.4602272727272701,0.5999999999995416,0.9424612977602108,0.7467248342962354,2
ccv_simes,0.05,157,0.0519323671497583,0.647727272727269,0.7261146496815241,0.647727272727269,0.6846846846841822,0.9424612977602108,0.7467248342962354,2
ccv_simes,0.1,169,0.0628019323671496,0.6647727272727235,0.6923076923076882,0.6647727272727235,0.6782608695647137,0.9424612977602108,0.7467248342962354,2
marginal,0.01,49,0.001207729468599,0.2727272727272712,0.979591836734674,0.2727272727272712,0.4266666666663222,0.9407938076416338,0.7838064585983521,3
marginal,0.05,146,0.0422705314009661,0.6306818181818146,0.7602739726027345,0.6306818181818146,0.6894409937883199,0.9407938076416338,0.7838064585983521,3
marginal,0.1,222,0.1038647342995167,0.7727272727272684,0.6126126126126099,0.7727272727272684,0.6834170854266389,0.9407938076416338,0.7838064585983521,3
ccv_simes,0.01,79,0.0072463768115941,0.4147727272727249,0.9240506329113808,0.4147727272727249,0.5725490196074109,0.9408075318401404,0.7838064585983521,3
ccv_simes,0.05,129,0.0277777777777777,0.6022727272727239,0.8217054263565828,0.6022727272727239,0.6950819672126222,0.9408075318401404,0.7838064585983521,3
ccv_simes,0.1,194,0.0857487922705313,0.6988636363636325,0.6340206185566978,0.6988636363636325,0.6648648648643625,0.9408075318401404,0.7838064585983521,3
marginal,0.01,57,0.0084541062801932,0.2840909090909075,0.877192982456125,0.2840909090909075,0.4291845493558499,0.9438543039086518,0.758694483214933,4
marginal,0.05,143,0.038647342995169,0.6306818181818146,0.7762237762237708,0.6306818181818146,0.6959247648897832,0.9438543039086518,0.758694483214933,4
marginal,0.1,208,0.0905797101449274,0.7556818181818139,0.6394230769230739,0.7556818181818139,0.6927083333328331,0.9438543039086518,0.758694483214933,4
ccv_simes,0.01,86,0.0132850241545893,0.4261363636363612,0.8720930232558038,0.4261363636363612,0.5725190839690203,0.9438543039086518,0.7586944832149332,4
ccv_simes,0.05,134,0.0326086956521738,0.607954545454542,0.7985074626865613,0.607954545454542,0.690322580644666,0.9438543039086518,0.7586944832149332,4
ccv_simes,0.1,162,0.0555555555555554,0.6590909090909054,0.716049382716045,0.6590909090909054,0.6863905325438755,0.9438543039086518,0.7586944832149332,4
